box of teabag,running nr,weight before,weight only tea,date weighing before,fence,treat snow,treat Otc,date burry,date retrieve,incubation time,pseudo rep,Weight dried (with bag),weight after (dried at 60 degr C),Weight loss after incubation,comment
G2,387,2.026,1.779,26-05-2017,C9,M,OTC,22-06-2018,27-08-2018,66,,1.2968,0.928,0.851,
R8,151,2.258,2.005,24-05-2017,D10,M,OTC,22-06-2018,27-08-2018,66,,2.0203,1.5665,0.439,
R3,46,2.175,1.925,24-05-2017,D11,M,OTC,22-06-2018,27-08-2018,66,,1.8573,1.5194,0.406,
G2,398,1.973,1.726,26-05-2017,D11,M,OTC,22-06-2018,27-08-2018,66,,1.227,0.864,0.862,
R3,57,2.17,1.92,24-05-2017,D12,M,OTC,22-06-2018,27-08-2018,66,,1.9165,1.5754,0.345,
G2,406,2.042,1.795,26-05-2017,D12,M,OTC,22-06-2018,27-08-2018,66,,1.436,1.0385,0.757,
R5,88,2.183,1.932,24-05-2017,D10,M,,21-06-2018,27-08-2018,67,,1.9011,1.4982,0.434,
G6,503,2.027,1.77,29-05-2017,D10,M,,21-06-2018,27-08-2018,67,,1.3224,0.9363,0.834,
R11,191,2.14,1.888,24-05-2017,A1,C,,19-06-2018,27-08-2018,69,,1.9125,1.515,0.373,
G6,489,2.01,1.753,29-05-2017,A1,C,,19-06-2018,27-08-2018,69,,1.4989,1.0985,0.655,
R11,192,2.223,1.971,24-05-2017,A3,C,,19-06-2018,27-08-2018,69,,1.8752,1.5238,0.447,
G6,490,1.992,1.735,29-05-2017,A3,C,,19-06-2018,27-08-2018,69,,1.4485,1.0733,0.662,
R11,198,2.18,1.928,24-05-2017,B4,C,,19-06-2018,27-08-2018,69,,1.9767,1.5592,0.369,
G6,500,2.08,1.823,29-05-2017,B4,C,,19-06-2018,27-08-2018,69,,1.4912,1.0687,0.754,
R11,200,2.12,1.868,24-05-2017,B5,C,,19-06-2018,27-08-2018,69,,1.8563,1.4952,0.373,
G6,492,1.949,1.692,29-05-2017,B5,C,,19-06-2018,27-08-2018,69,,1.4618,1.0355,0.657,
R11,194,2.136,1.884,24-05-2017,B6,C,,19-06-2018,27-08-2018,69,,1.9215,1.4738,0.41,
G6,481,1.923,1.666,29-05-2017,B6,C,,19-06-2018,27-08-2018,69,,1.3661,0.953,0.713,
R5,92,2.217,1.966,24-05-2017,C7,C,,19-06-2018,27-08-2018,69,,1.9363,1.5188,0.447,
G11,608,2.079,1.825,29-05-2017,C7,C,,19-06-2018,27-08-2018,69,,1.3666,0.9606,0.864,
