box of teabag,running nr,weight before,weight only tea,date weighing before,fence,treat snow,treat Otc,date burry,date retrieve,incubation time,pseudo rep,Weight dried (with bag),weight after (dried at 60 degr C),Weight loss after incubation,comment
G7,524,2,1.752,29-05-2017,D12,D,,06-09-2017,27-08-2018,355,,1.3542,0.98,0.772,
G4,446,1.985,1.733,29-05-2017,C9,M,,06-09-2017,27-08-2018,355,,1.3344,0.926,0.807,
G7,519,1.962,1.714,29-05-2017,D10,M,,06-09-2017,27-08-2018,355,,1.1768,0.8409,0.873,
R1,19,2.189,1.934,24-05-2017,A1,M,,06-09-2017,27-08-2018,355,,1.8484,1.5301,0.404,
G1,363,2.048,1.796,26-05-2017,A1,M,,06-09-2017,27-08-2018,355,,1.1202,0.7582,1.038,
R1,12,2.179,1.924,24-05-2017,A3,M,,06-09-2017,27-08-2018,355,,1.8511,1.4468,0.477,
G1,374,2.042,1.79,26-05-2017,A3,M,,06-09-2017,27-08-2018,355,,1.1494,0.7767,1.013,
R2,25,2.213,1.956,24-05-2017,B4,M,,06-09-2017,27-08-2018,355,,1.8612,1.457,0.499,
G8,539,1.967,1.715,29-05-2017,B4,M,,06-09-2017,27-08-2018,355,,1.2028,0.7823,0.933,
R4,58,2.123,1.868,24-05-2017,B5,M,,06-09-2017,27-08-2018,355,,1.8894,1.4817,0.386,
G1,376,2.05,1.798,26-05-2017,B5,M,,06-09-2017,27-08-2018,355,,1.0485,0.6834,1.115,
R4,73,2.162,1.907,24-05-2017,B6,M,,06-09-2017,27-08-2018,355,,1.8354,1.4693,0.438,
G8,546,2.03,1.778,29-05-2017,B6,M,,06-09-2017,27-08-2018,355,,1.1997,0.8372,0.941,
R6,105,2.165,1.915,24-05-2017,C7,M,,06-09-2017,27-08-2018,355,,1.8265,1.4374,0.478,
G4,436,2.09,1.838,29-05-2017,C7,M,,06-09-2017,27-08-2018,355,,1.2507,0.8902,0.948,
R2,21,2.166,1.909,24-05-2017,C9,M,,06-09-2017,27-08-2018,355,,1.8678,1.5155,0.394,
R9,158,2.234,1.982,24-05-2017,D10,M,,06-09-2017,27-08-2018,355,,1.8404,1.503,0.479,
R6,99,2.189,1.939,24-05-2017,D11,M,,06-09-2017,27-08-2018,355,,1.7603,1.3652,0.574,
G7,515,1.997,1.749,29-05-2017,D11,M,,06-09-2017,27-08-2018,355,,,,,
R9,160,2.186,1.934,24-05-2017,D12,M,,06-09-2017,27-08-2018,355,,1.9196,1.5456,0.388,
G7,517,1.993,1.745,29-05-2017,D12,M,,06-09-2017,27-08-2018,355,,1.1756,0.8339,0.911,
